                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.18935,                0.26241,                0.21486,                0.85348,                 0.9932,                0.97464,                0.97347,                0.96449,                 0.9932,                0.97464,                0.97347,                 0.9568,                 0.1445,                0.24382,                0.16173,                0.82721,             0.00039592,             0.00039592,             0.00039592
                     56,                0.19396,                0.21708,                0.22313,                0.86361,                0.99688,                0.97464,                0.97394,                0.96637,                0.99688,                0.97464,                0.97394,                0.95958,                0.14277,                0.28977,                0.14804,                0.82463,             0.00038768,             0.00038768,             0.00038768
                     57,                0.18488,                 0.2456,                0.21255,                0.85628,                 0.9974,                0.97464,                0.97398,                0.96676,                 0.9974,                0.97464,                0.97398,                 0.9627,                0.15178,                0.35208,                0.17913,                0.83338,             0.00037943,             0.00037943,             0.00037943
                     58,                0.18287,                0.22267,                0.21856,                0.85235,                 0.9967,                0.97464,                0.97451,                0.96867,                 0.9967,                0.97464,                0.97451,                0.96205,                0.12775,                 0.2948,                0.13871,                0.82038,             0.00037118,             0.00037118,             0.00037118
                     59,                0.18303,                0.16139,                0.20377,                0.85939,                 0.9963,                0.97464,                0.97612,                0.96869,                 0.9963,                0.97464,                0.97612,                0.96158,                0.13368,                0.21238,                0.15931,                0.82378,             0.00036294,             0.00036294,             0.00036294
                     60,                0.17879,                0.21266,                0.20601,                0.85488,                0.99708,                0.97464,                0.97515,                0.96745,                0.99708,                0.97464,                0.97515,                0.95712,                0.12919,                0.20844,                0.16088,                0.82092,             0.00035469,             0.00035469,             0.00035469
                     61,                0.17202,                0.21462,                0.19302,                0.84648,                0.99673,                0.97464,                0.97582,                0.96805,                0.99673,                0.97464,                0.97582,                0.95917,                0.13048,                0.23923,                0.14114,                0.82484,             0.00034644,             0.00034644,             0.00034644
                     62,                0.17779,                0.20565,                0.19537,                0.84799,                0.99577,                0.97464,                0.97506,                0.97043,                0.99577,                0.97464,                0.97506,                0.96321,                0.11459,                0.21746,                0.13469,                0.81656,              0.0003382,              0.0003382,              0.0003382
                     63,                0.18008,                0.21603,                0.19474,                0.85705,                0.99538,                0.97464,                0.97557,                0.96951,                0.99538,                0.97464,                0.97557,                0.96224,                0.12698,                0.23043,                0.15502,                0.81933,             0.00032995,             0.00032995,             0.00032995
                     64,                0.17629,                0.24654,                0.21012,                0.85204,                0.99635,                0.97464,                0.97749,                0.96988,                0.99635,                0.97464,                0.97749,                0.96371,                0.12933,                0.23763,                0.15007,                0.82224,              0.0003217,              0.0003217,              0.0003217
                     65,                 0.1731,                 0.1892,                0.19846,                0.84501,                0.99597,                0.97464,                 0.9768,                0.96992,                0.99597,                0.97464,                 0.9768,                0.96123,                 0.1454,                0.19947,                0.16585,                0.82951,             0.00031346,             0.00031346,             0.00031346
                     66,                0.17025,                0.18494,                0.20279,                0.85446,                0.99548,                0.97464,                0.97499,                0.96864,                0.99548,                0.97464,                0.97499,                0.95919,                0.13519,                0.21328,                0.16064,                0.82479,             0.00030521,             0.00030521,             0.00030521
