                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.17521,                0.21526,                0.19521,                0.87262,                0.99612,                0.97904,                0.97733,                0.96897,                0.99612,                0.97904,                0.97733,                0.97002,                 0.1244,                0.18421,                 0.1408,                0.81287,             0.00014473,             0.00014473,             0.00014473
                     85,                0.17871,                0.18524,                0.19598,                0.87526,                0.99582,                0.97904,                0.97778,                0.96998,                0.99582,                0.97904,                0.97778,                0.97095,                0.11482,                0.18515,                0.13012,                0.80808,             0.00013711,             0.00013711,             0.00013711
                     86,                0.17457,                0.18404,                0.19268,                0.86794,                0.99597,                0.97904,                0.97804,                0.97005,                0.99597,                0.97904,                0.97804,                0.97105,                0.11515,                0.18181,                0.13409,                0.80832,              0.0001295,              0.0001295,              0.0001295
                     87,                0.16841,                0.19454,                0.19038,                0.86699,                0.99588,                0.97904,                0.97819,                0.96981,                0.99588,                0.97904,                0.97819,                0.97086,                0.11292,                0.18226,                0.12988,                0.80702,             0.00012189,             0.00012189,             0.00012189
                     88,                0.16449,                0.17799,                0.18945,                0.87065,                0.99584,                0.97904,                 0.9777,                0.97083,                0.99584,                0.97904,                 0.9777,                0.97169,                0.10918,                0.19179,                 0.1259,                0.80579,             0.00011427,             0.00011427,             0.00011427
                     89,                0.17017,                0.16892,                0.17981,                0.86942,                0.99628,                0.97904,                0.97777,                 0.9727,                0.99628,                0.97904,                0.97777,                0.97283,                0.10337,                0.18609,                 0.1249,                0.80323,             0.00010666,             0.00010666,             0.00010666
                     90,                0.17008,                0.15827,                0.20079,                0.87535,                0.99542,                0.97904,                0.97793,                0.96946,                0.99542,                0.97904,                0.97793,                0.96999,                 0.1028,                0.17917,                0.11964,                0.80304,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     91,                0.11009,                0.15764,                0.16481,                0.83238,                0.99578,                0.97904,                0.97898,                 0.9689,                0.99578,                0.97904,                0.97898,                0.96963,                0.10736,                0.17407,                0.12024,                0.80463,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     92,                0.10857,                0.15237,                0.16313,                0.82097,                0.99619,                0.97904,                0.97848,                0.96971,                0.99619,                0.97904,                0.97848,                0.96944,                0.10844,                0.16944,                0.11516,                0.80458,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     93,                0.10545,                0.15125,                 0.1597,                0.82936,                0.99596,                0.97904,                0.97857,                0.96952,                0.99596,                0.97904,                0.97857,                0.97038,                 0.1058,                0.17067,                0.11959,                0.80352,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     94,                0.10527,                0.14093,                0.15988,                0.82076,                 0.9956,                0.97904,                 0.9785,                0.97017,                 0.9956,                0.97904,                 0.9785,                0.97093,                0.10032,                0.16661,                  0.126,                0.80168,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     95,                0.10002,                 0.1643,                0.15469,                0.81876,                0.99574,                0.97904,                0.97884,                0.96947,                0.99574,                0.97904,                0.97884,                0.97064,                0.10627,                0.17062,                0.12004,                0.80462,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     96,                0.09832,                0.15821,                0.14765,                0.81362,                0.99553,                0.97904,                0.97972,                0.97113,                0.99553,                0.97904,                0.97972,                0.97221,                 0.0985,                0.17172,                0.10959,                0.80207,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     97,                0.09869,                0.16777,                0.15171,                0.82618,                0.99594,                0.97904,                0.97884,                0.96949,                0.99594,                0.97904,                0.97884,                0.97066,                0.09428,                0.17303,                0.10504,                0.80081,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     98,                0.09775,                 0.1583,                0.14405,                0.81787,                0.99527,                0.97904,                 0.9797,                0.97021,                0.99527,                0.97904,                 0.9797,                 0.9714,                0.09734,                 0.1776,                0.11787,                0.80182,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     99,                0.08945,                0.12802,                0.14011,                0.82023,                 0.9961,                0.97904,                0.98079,                0.97178,                 0.9961,                0.97904,                0.98079,                 0.9729,                0.09613,                0.17506,                0.11675,                0.80097,             3.0529e-05,             3.0529e-05,             3.0529e-05
                    100,                0.08771,                0.15525,                0.13554,                0.80883,                0.99591,                0.97904,                0.98101,                0.97184,                0.99591,                0.97904,                0.98101,                0.97299,                0.09678,                0.17679,                0.11277,                0.80082,             2.2916e-05,             2.2916e-05,             2.2916e-05
